               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10945,            0.023707,                   0,          0.00077381,             0.13978,          0.00058166,          0.00010343,            0.089843,            0.017071,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.089029,            0.016875,                   0,           0.0024731,             0.74194,            0.012373,           0.0022485,            0.085251,            0.011341,                   0,            0.040508,           0.0064651,           0.0064651
                   2,            0.081591,            0.014597,                   0,            0.002724,              0.8172,            0.015112,           0.0028667,            0.077148,            0.010754,                   0,            0.010245,           0.0095359,           0.0095359
                   3,            0.071711,            0.014942,                   0,           0.0030466,             0.91398,             0.22367,            0.046974,            0.070735,            0.010439,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063194,            0.014602,                   0,           0.0032258,             0.96774,             0.42195,             0.15731,             0.05701,            0.010569,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055436,            0.015528,                   0,             0.21023,             0.84946,             0.69946,             0.27037,            0.046371,            0.010612,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.051363,             0.01462,                   0,             0.84052,             0.28343,             0.74708,             0.30639,            0.043137,           0.0098046,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047019,             0.01324,                   0,             0.85914,             0.59027,             0.76837,             0.32198,            0.043903,           0.0089696,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042319,            0.012147,                   0,             0.84754,             0.77709,             0.84016,             0.38256,            0.038508,           0.0088323,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041259,            0.012752,                   0,             0.75202,             0.81522,             0.78853,             0.46467,            0.036359,           0.0081728,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040849,            0.011631,                   0,             0.75417,              0.7957,              0.8168,             0.48734,             0.03602,           0.0074995,                   0,            0.008218,            0.008218,            0.008218
